Name,SKU,Category,Description,Price,Specifications,Availability,ImageUrl,DatasheetUrl
Schneider Easy9 20A Type C MCB,EZ9F34120,Protection,"1-pole miniature circuit breaker for commercial and residential distribution boards.",18,"Brand: Schneider; Current: 20A; Curve: Type C; Voltage: 240V; Poles: 1P; Breaking capacity: 6kA",In stock,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?auto=format&fit=crop&w=600&q=80,
Schneider Easy9 32A Type C MCB,EZ9F34132,Protection,"1-pole 32A circuit breaker for higher-load final circuits.",24,"Brand: Schneider; Current: 32A; Curve: Type C; Voltage: 240V; Poles: 1P; Breaking capacity: 6kA",In stock,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?auto=format&fit=crop&w=600&q=80,
Schneider Industrial Socket 32A IP67,PKF32M435,Wiring devices,"Weatherproof industrial socket suitable for outdoor and washdown locations.",86,"Brand: Schneider; Current: 32A; Voltage: 415V; Protection: IP67; Configuration: 3P+E",In stock,https://images.unsplash.com/photo-1621905252507-b35492cc74b4?auto=format&fit=crop&w=600&q=80,
ABB Industrial Socket 32A IP67,ABB-432P6W,Wiring devices,"ABB equivalent outdoor industrial socket for project alternatives.",82,"Brand: ABB; Current: 32A; Voltage: 415V; Protection: IP67; Configuration: 3P+E",In stock,https://images.unsplash.com/photo-1621905252507-b35492cc74b4?auto=format&fit=crop&w=600&q=80,
Hager 100A RCCB 4P,CDC440J,Protection,"Four-pole earth leakage protection for three-phase distribution boards.",198,"Brand: Hager; Current: 100A; Sensitivity: 30mA; Poles: 4P; Voltage: 415V",In stock,https://images.unsplash.com/photo-1621905252472-e8f2e3149aa5?auto=format&fit=crop&w=600&q=80,
24W LED Panel Light 600x600,LGT-LED-24,Lighting,"Low-profile LED panel for offices, retail areas and commercial ceilings.",64,"Power: 24W; Output: 2400lm; Colour: 6500K; Size: 600x600mm; Warranty: 3 years",Low stock,https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&w=600&q=80,
50W LED Floodlight IP65,FLT-LED-50,Lighting,"Outdoor LED floodlight for car parks, loading bays and work areas.",72,"Power: 50W; Output: 5000lm; Protection: IP65; Colour: 6500K; Warranty: 2 years",In stock,https://images.unsplash.com/photo-1497435334941-8c899ee9e8e9?auto=format&fit=crop&w=600&q=80,
Emergency Exit Light 3 Hour,EXIT-LED-EM,Lighting,"Maintained LED exit sign with emergency battery backup.",62,"Backup: 3 hours; Type: Maintained; Light source: LED; Mounting: Surface",Pre-order,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=600&q=80,
2.5mm Twin and Earth Cable 100m,CAB-2.5-TWE,Cables,"Copper fixed-wiring cable for socket outlet and power circuits.",152,"Conductor: Copper; Size: 2.5mm2; Length: 100m; Voltage: 450/750V; Standard: BS 6004",In stock,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?auto=format&fit=crop&w=600&q=80,
4mm Single Core Cable 100m,CAB-4-SC,Cables,"Flexible copper cable for panels and commercial building installations.",218,"Conductor: Copper; Size: 4mm2; Length: 100m; Voltage: 450/750V",In stock,https://images.unsplash.com/photo-1558618047-3c8c76ca7d13?auto=format&fit=crop&w=600&q=80,
